SaleID,CustomerID,EmployeeID,StoreID,SaleDate,PaymentMethod,TotalAmount,TransactionStatus
70,53,5,5,2023-06-10,Online,17525.12,Pending
71,37,27,3,2025-01-11,Transfer,6898.06,Cancelled
72,481,21,2,2023-03-25,Cash,25779.64,Cancelled
73,63,21,8,2023-04-17,Cash,36613.57,Completed
74,396,10,8,2023-08-28,Online,7777.05,Completed
75,132,7,4,2024-01-19,Cash,20567.24,Cancelled
76,377,13,7,2023-08-24,Cash,24513.76,Completed
77,374,10,4,2023-10-09,Online,8367.45,Pending
78,167,24,1,2024-01-21,POS,13300.9,Completed
79,156,23,7,2023-03-07,Cash,13286.78,Pending
80,410,12,3,2025-07-27,Cash,21884.62,Completed
81,5,15,4,2025-06-02,Online,8906.91,Cancelled
82,154,24,1,2024-09-01,Cash,28791.39,Cancelled
83,324,27,6,2024-07-08,Online,43146.82,Cancelled
84,405,10,8,2023-03-20,Transfer,28031.26,Completed
85,259,2,5,2025-02-08,Cash,19872.55,Pending
86,442,19,2,2025-12-26,POS,31115.1,Pending
87,108,6,7,2025-05-16,Card,14665.39,Completed
88,242,24,7,2023-03-25,Cash,7205.66,Completed
89,131,19,1,2024-04-15,POS,19768.09,Pending
90,315,28,10,2023-04-28,POS,10284.21,Cancelled
91,311,16,7,2024-01-12,Online,30843.78,Pending
92,257,22,7,2024-11-15,Transfer,14248.33,Completed
93,145,20,2,2025-09-22,POS,37759.11,Completed
94,280,10,3,2024-04-12,POS,14345.37,Cancelled
95,320,9,7,2024-04-01,Online,49059.02,Completed
96,195,3,6,2024-08-19,Cash,24049.64,Pending
97,136,25,10,2024-09-16,Cash,34417.54,Cancelled
98,30,29,5,2024-04-04,POS,8798.78,Completed
99,500,22,8,2025-05-02,Card,22642.06,Cancelled
100,487,24,1,2024-09-27,POS,32604.07,Cancelled
101,167,18,2,2025-10-30,Transfer,34434.72,Cancelled
102,359,18,10,2025-11-29,Transfer,46184.42,Cancelled
103,189,8,4,2024-03-18,POS,48189.52,Completed
104,358,15,9,2025-12-30,POS,8531.43,Cancelled
105,222,15,9,2023-12-20,Card,17013.49,Pending
106,316,10,9,2025-11-26,Card,7984.44,Pending
107,116,12,2,2023-03-30,Online,14934.28,Pending
108,109,30,4,2025-08-26,Transfer,27359.58,Pending
109,499,19,4,2025-06-19,Transfer,12441.11,Completed
110,117,29,9,2025-04-15,Online,25673.86,Cancelled
111,123,29,2,2024-02-23,POS,36213.97,Completed
112,240,19,6,2024-05-11,Cash,25316.37,Cancelled
113,4,27,9,2025-12-21,Card,28924.47,Completed
114,455,8,2,2025-03-27,Online,35989.68,Pending
115,309,14,9,2023-02-20,Cash,1569.42,Cancelled
116,20,20,4,2025-12-20,Online,6269.97,Completed
117,406,19,4,2023-08-15,POS,24989.27,Cancelled
118,122,15,9,2025-06-19,Transfer,36970.76,Completed
119,346,8,1,2025-09-18,Online,18060.94,Cancelled
120,196,27,4,2025-11-16,POS,22507.16,Completed
121,341,8,1,2023-01-27,Cash,26240.0,Cancelled
122,345,16,6,2024-08-18,Cash,8465.56,Completed
123,490,4,5,2024-12-17,Card,35217.42,Completed
124,179,4,9,2025-05-11,Online,10872.84,Completed
125,214,28,10,2024-01-02,Transfer,41043.56,Pending
126,323,17,7,2025-11-06,Transfer,18878.54,Completed
127,201,8,2,2025-01-21,Cash,11208.53,Pending
128,277,25,10,2025-05-26,Online,23165.48,Cancelled
129,245,15,10,2025-09-17,POS,43255.63,Cancelled
130,290,18,4,2023-07-16,Online,48998.31,Cancelled
131,307,9,2,2024-05-25,Transfer,16268.44,Completed
132,232,13,9,2025-10-10,Card,19165.82,Completed
133,62,2,5,2023-12-19,Cash,4945.65,Pending
134,139,15,8,2023-03-07,Card,35228.19,Pending
135,206,12,9,2024-10-01,Transfer,37326.57,Pending
136,271,17,2,2023-11-11,Online,37508.86,Pending
137,291,21,4,2023-07-04,Card,9744.31,Cancelled
138,50,1,4,2025-07-13,Cash,16555.59,Pending
139,87,4,1,2023-08-25,Card,45309.58,Completed
140,138,3,6,2023-12-15,Cash,26832.44,Completed
141,276,7,7,2024-07-10,Transfer,10602.17,Completed
142,463,2,1,2024-01-19,POS,19642.97,Completed
143,295,4,9,2024-07-25,Transfer,32831.5,Cancelled
144,457,13,3,2025-05-16,Transfer,20297.24,Cancelled
145,137,21,9,2024-05-08,Cash,33047.68,Pending
146,374,23,7,2024-01-03,Online,29475.98,Cancelled
147,313,14,2,2025-03-22,POS,2857.86,Completed
148,24,17,10,2024-03-21,Online,48297.08,Cancelled
149,478,18,9,2024-10-27,Cash,9339.8,Cancelled
150,466,20,4,2023-05-15,Card,41014.89,Completed
151,318,29,2,2024-10-29,POS,39098.46,Pending
152,72,6,2,2023-03-02,Online,2697.98,Pending
153,455,27,8,2025-09-12,Cash,23937.07,Pending
154,345,16,5,2024-11-29,Transfer,14034.08,Pending
155,499,14,4,2024-07-26,Cash,45536.31,Pending
156,351,10,6,2023-12-29,Card,45128.89,Pending
157,68,28,10,2025-08-27,Transfer,30360.74,Completed
158,267,28,9,2024-11-20,Transfer,44587.89,Pending
159,463,1,5,2024-04-08,Online,18095.36,Pending
160,488,6,9,2025-05-18,Cash,1828.45,Pending
161,454,27,10,2024-10-09,Cash,5138.26,Completed
162,280,13,1,2024-01-10,POS,49581.04,Pending
163,2,13,2,2025-11-01,Online,49670.29,Cancelled
164,127,12,4,2024-04-07,POS,20824.18,Cancelled
165,365,4,6,2023-08-08,Cash,31175.68,Completed
166,381,10,6,2023-06-04,Online,1782.78,Completed
167,49,2,1,2023-11-08,Transfer,7799.95,Cancelled
168,52,11,3,2025-05-02,Cash,11295.62,Cancelled
169,293,14,3,2025-05-22,Cash,1091.17,Completed
170,13,11,8,2023-02-04,Transfer,29923.21,Completed
171,7,29,9,2024-07-19,POS,33682.3,Cancelled
172,206,18,7,2024-04-27,Transfer,37175.0,Pending
173,472,29,6,2024-06-15,Transfer,28901.41,Cancelled
174,420,1,4,2024-12-16,Online,40670.55,Pending
175,214,10,9,2025-10-15,Cash,14280.91,Completed
176,491,9,4,2025-09-19,Cash,16806.45,Pending
177,294,23,1,2025-11-07,POS,21100.5,Cancelled
178,493,16,8,2024-05-09,Cash,3773.53,Pending
179,380,3,1,2025-05-08,Online,46878.24,Pending
180,197,26,10,2024-01-30,Cash,19493.51,Completed
181,322,22,1,2024-05-29,Cash,7926.28,Pending
182,420,15,10,2025-03-05,Cash,34325.83,Cancelled
183,131,15,7,2025-08-18,Cash,12675.29,Completed
184,5,13,3,2023-10-09,POS,33322.39,Completed
185,266,30,10,2023-04-22,POS,7361.53,Completed
186,294,15,6,2023-09-14,Online,18204.21,Completed
187,154,14,10,2025-03-06,Cash,6998.46,Pending
188,156,3,2,2025-10-25,Card,3969.12,Completed
189,134,6,6,2024-12-25,Cash,14977.07,Completed
190,281,16,5,2025-03-06,Card,14425.36,Pending
191,206,4,8,2025-12-25,Cash,14519.63,Pending
192,104,8,7,2025-07-19,Cash,2807.4,Completed
193,36,30,8,2025-07-13,Transfer,22155.05,Pending
194,454,21,10,2025-11-16,POS,8960.01,Cancelled
195,158,15,9,2024-09-30,Transfer,46872.38,Completed
196,96,24,5,2025-01-24,Transfer,20325.95,Pending
197,182,13,3,2025-07-11,Online,21617.85,Completed
198,92,2,9,2025-11-12,Online,39957.5,Pending
199,450,5,5,2025-06-05,Cash,39138.56,Completed
200,137,16,7,2024-12-04,Card,32315.55,Pending
201,27,7,10,2024-10-28,Transfer,44478.1,Completed
202,145,8,6,2025-06-10,POS,30490.48,Cancelled
203,26,5,6,2024-12-03,Online,44679.48,Cancelled
204,120,23,7,2023-04-21,Online,20812.94,Completed
205,335,20,10,2024-11-10,POS,18543.05,Pending
206,184,19,9,2024-06-22,Card,36929.62,Cancelled
207,321,17,7,2023-05-27,Cash,48518.72,Completed
208,68,15,2,2023-07-05,Card,27036.53,Pending
209,171,27,2,2023-10-11,POS,48915.97,Completed
210,279,7,4,2024-07-08,POS,36882.85,Cancelled
211,169,2,2,2023-04-02,Online,42745.4,Cancelled
212,493,14,9,2025-10-20,POS,25041.94,Completed
213,214,1,2,2023-09-08,Cash,33365.42,Completed
214,206,3,7,2024-10-11,Transfer,39214.61,Pending
215,436,23,7,2023-11-12,Transfer,24293.17,Pending
216,11,21,8,2024-01-03,Card,16023.14,Pending
217,362,25,4,2024-12-25,Cash,5307.74,Completed
218,81,27,9,2024-02-27,Transfer,34766.86,Cancelled
219,77,7,4,2024-10-15,Cash,41355.28,Cancelled
220,36,2,4,2025-03-25,POS,13119.52,Pending
221,487,14,3,2024-09-12,Card,30381.35,Cancelled
222,36,10,10,2024-08-03,Card,43403.57,Completed
223,111,21,5,2025-04-29,POS,3182.27,Pending
224,235,16,6,2023-10-15,Cash,17017.36,Completed
225,442,25,9,2024-03-08,POS,5524.23,Cancelled
226,205,21,7,2025-09-28,Card,20218.88,Completed
227,277,27,3,2023-01-12,Transfer,32913.02,Pending
228,166,20,3,2025-07-26,Online,7468.19,Completed
229,370,17,5,2024-03-26,Cash,5996.88,Cancelled
230,350,1,7,2023-11-06,Card,28128.3,Pending
231,346,30,4,2023-10-15,Transfer,36472.73,Cancelled
232,50,2,1,2023-10-07,POS,22281.11,Cancelled
233,22,6,4,2023-12-19,Online,5114.24,Cancelled
234,364,9,4,2025-04-16,POS,31650.65,Completed
235,428,3,9,2023-12-07,Card,42496.62,Pending
236,308,10,7,2023-02-03,Card,36659.45,Cancelled
237,263,27,9,2023-06-13,POS,9804.9,Cancelled
238,212,9,4,2023-11-07,Card,44730.67,Completed
239,450,5,6,2025-05-31,Card,7795.1,Cancelled
240,28,21,10,2025-05-13,Cash,15313.43,Completed
241,241,27,3,2025-09-25,Transfer,14484.79,Pending
242,92,16,4,2025-09-10,Transfer,4235.99,Cancelled
243,214,5,9,2023-03-28,POS,33809.8,Pending
244,435,19,2,2023-06-29,Online,11187.69,Pending
245,428,23,1,2023-07-25,Online,40971.61,Cancelled
246,344,13,5,2023-01-09,Transfer,33701.54,Cancelled
247,409,17,6,2025-06-19,Card,508.15,Completed
248,228,7,8,2025-10-10,Cash,19966.97,Pending
249,210,15,8,2024-12-03,Transfer,940.36,Cancelled
250,328,29,9,2023-10-21,Transfer,25565.03,Cancelled
251,229,3,6,2024-04-01,Card,11839.96,Cancelled
252,463,15,4,2024-02-01,POS,1824.09,Completed
253,263,29,9,2023-09-10,Card,26940.07,Cancelled
254,300,13,9,2023-05-25,Cash,12152.75,Completed
255,401,6,5,2024-06-19,Transfer,7467.57,Pending
256,38,22,8,2023-03-05,Card,14175.62,Cancelled
257,211,3,5,2023-12-31,POS,8738.99,Pending
258,399,24,5,2023-06-04,Online,20376.59,Completed
259,348,30,1,2023-12-03,Cash,38547.01,Pending
260,490,20,7,2025-05-16,Card,17209.03,Completed
261,94,10,3,2023-02-01,POS,10017.28,Pending
262,292,1,10,2023-05-06,Cash,40499.65,Pending
263,493,22,10,2025-08-17,POS,41600.2,Completed
264,29,19,7,2024-11-10,POS,45112.78,Completed
265,176,14,1,2025-01-04,Card,33505.16,Cancelled
266,88,29,10,2024-06-02,Online,25833.83,Pending
267,64,3,9,2025-01-28,Card,45320.23,Pending
268,496,26,2,2023-06-16,Cash,18918.53,Cancelled
269,460,1,10,2025-04-24,Online,20496.33,Pending
270,82,26,8,2024-04-16,Card,32487.98,Cancelled
271,25,20,1,2023-02-17,POS,43777.13,Pending
272,340,8,6,2023-05-05,Cash,21203.22,Cancelled
273,394,23,4,2025-07-26,Card,31130.64,Cancelled
274,492,27,2,2023-11-23,Cash,25953.81,Pending
275,257,11,9,2023-06-25,Card,8555.13,Completed
276,482,26,8,2024-05-18,Online,18235.06,Completed
277,394,22,3,2025-06-05,POS,6935.34,Completed
278,357,13,3,2025-07-04,POS,22348.92,Completed
279,30,7,7,2025-12-31,Card,21041.08,Pending
280,286,19,10,2023-03-26,Cash,44299.2,Completed
281,401,10,1,2025-06-24,Card,45842.63,Completed
282,150,24,7,2023-01-29,Online,11957.82,Pending
283,337,19,8,2023-08-04,Card,47643.12,Completed
284,444,14,6,2023-07-10,Transfer,13543.17,Completed
285,74,3,6,2025-05-17,Card,47719.63,Completed
286,249,9,3,2023-07-09,Cash,9538.28,Completed
287,338,16,7,2024-04-05,POS,39962.11,Completed
288,338,19,8,2025-03-17,Card,6171.74,Completed
289,427,14,10,2023-10-04,Card,26528.49,Cancelled
290,91,4,2,2024-01-23,Online,28432.65,Completed
291,194,20,5,2024-09-13,Card,4872.8,Pending
292,42,15,3,2025-12-27,POS,34208.65,Pending
293,205,23,4,2025-09-10,Card,7378.43,Cancelled
294,27,30,6,2023-01-14,Online,2654.88,Pending
295,185,21,8,2024-12-05,POS,41474.27,Pending
296,351,2,2,2024-01-31,Cash,4218.63,Cancelled
297,428,10,6,2023-09-19,Card,35599.05,Pending
298,207,17,10,2025-05-30,POS,591.89,Pending
299,180,29,5,2023-10-02,POS,7099.43,Cancelled
300,53,30,10,2025-07-23,POS,49905.95,Completed
301,97,12,7,2025-06-05,Card,13688.35,Completed
302,493,30,9,2024-06-17,Transfer,20894.35,Pending
303,85,21,4,2023-05-14,Transfer,8828.66,Completed
304,352,25,8,2024-05-25,Cash,37466.04,Pending
305,208,18,10,2023-07-20,Online,40431.64,Completed
306,62,6,5,2025-01-24,Online,31812.44,Pending
307,279,28,9,2023-12-12,Cash,34216.69,Completed
308,226,3,9,2024-02-09,Online,13004.53,Cancelled
309,333,2,10,2024-10-21,Transfer,18204.38,Completed
310,431,13,7,2023-02-04,Card,36721.28,Pending
311,461,13,7,2025-12-07,Cash,34756.4,Completed
312,111,7,10,2025-12-17,Online,17065.93,Completed
313,465,2,1,2024-08-01,POS,29340.24,Completed
314,197,30,10,2023-04-24,Online,22668.78,Pending
315,31,10,5,2024-04-14,Online,11960.01,Pending
316,89,2,7,2023-05-12,POS,25496.99,Completed
317,109,18,7,2024-09-14,Transfer,47733.8,Pending
318,304,24,10,2023-08-13,Cash,8636.97,Completed
319,460,14,6,2023-01-24,Transfer,11130.02,Pending
320,449,8,8,2023-04-24,Cash,33160.1,Completed
321,65,16,5,2025-08-25,Card,21239.11,Pending
322,405,28,6,2025-12-02,Card,1340.95,Pending
323,173,3,1,2023-01-26,Online,37894.36,Pending
324,492,6,9,2025-05-29,POS,47698.67,Completed
325,476,22,4,2023-06-02,POS,12674.37,Cancelled
326,239,29,7,2024-11-01,Cash,24750.83,Completed
327,107,17,5,2024-10-31,Transfer,34706.54,Cancelled
328,341,21,4,2025-02-21,Cash,34109.8,Completed
329,190,13,8,2024-07-21,POS,42402.69,Completed
330,201,11,10,2024-10-28,POS,13450.15,Pending
331,224,18,4,2025-10-20,Transfer,46072.26,Cancelled
332,65,19,8,2024-03-16,Online,15370.4,Cancelled
333,130,5,1,2023-09-11,Transfer,19474.66,Pending
334,412,20,8,2025-02-08,POS,30680.86,Completed
335,164,7,7,2023-02-05,Card,33672.26,Pending
336,93,9,6,2024-06-28,Card,9088.44,Completed
337,137,6,6,2024-10-03,Transfer,14604.68,Cancelled
338,307,2,3,2023-04-04,Card,12145.24,Pending
339,421,17,5,2023-08-07,Transfer,15627.52,Cancelled
340,143,5,1,2025-11-15,POS,22291.31,Cancelled
341,380,5,2,2025-06-29,Card,34205.02,Completed
342,461,14,6,2023-08-20,Online,42527.61,Pending
343,139,13,10,2025-01-20,POS,3518.81,Cancelled
344,293,2,3,2024-02-06,Online,39490.26,Cancelled
345,50,19,4,2024-03-08,POS,39779.1,Completed
346,429,19,10,2024-08-12,Cash,43975.56,Pending
347,201,29,9,2024-01-03,Online,43849.14,Completed
348,397,14,3,2023-11-16,Cash,28030.4,Pending
349,472,12,2,2023-10-26,Transfer,17693.62,Completed
350,228,4,5,2023-12-06,Card,24152.76,Completed
351,477,29,8,2025-04-24,POS,16235.67,Cancelled
352,178,22,4,2024-01-09,Card,10117.92,Pending
353,427,28,5,2025-03-25,POS,7964.27,Completed
354,438,5,2,2025-09-03,Online,36085.66,Cancelled
355,52,23,8,2023-03-06,Cash,7229.17,Cancelled
356,324,22,7,2023-11-29,Online,45495.73,Pending
357,48,26,7,2023-12-30,Card,24009.67,Pending
358,127,1,8,2024-02-25,Transfer,4345.41,Cancelled
359,11,2,1,2025-12-08,Cash,13107.2,Cancelled
360,76,25,8,2025-11-11,Online,17696.12,Completed
361,216,21,5,2023-06-05,POS,29196.66,Pending
362,451,12,7,2024-09-23,POS,15432.55,Completed
363,227,8,7,2025-12-29,Card,38176.13,Pending
364,482,18,6,2023-03-15,Card,1967.22,Cancelled
365,55,28,10,2024-02-28,Cash,43383.0,Cancelled
366,388,1,2,2024-07-31,Card,6246.47,Pending
367,409,17,8,2023-05-13,Online,12281.69,Cancelled
368,68,7,10,2024-11-12,Online,22680.61,Cancelled
369,120,4,3,2024-10-19,Transfer,23636.68,Completed
370,312,18,6,2023-06-15,Card,30467.87,Pending
371,233,30,3,2025-09-15,Transfer,17322.6,Completed
372,94,13,10,2023-01-06,Online,2176.25,Completed
373,427,11,7,2024-08-19,Cash,17475.21,Pending
374,248,24,5,2025-06-08,Transfer,45066.91,Completed
375,32,6,1,2024-01-03,Card,1388.43,Completed
376,431,17,9,2023-02-20,Cash,15598.73,Completed
377,155,18,3,2025-07-02,Card,40357.9,Pending
378,470,9,6,2023-07-30,POS,41463.0,Completed
379,479,9,3,2023-04-15,POS,30877.9,Pending
380,311,22,6,2023-03-20,POS,20295.36,Cancelled
381,41,13,8,2023-04-24,Transfer,35960.96,Cancelled
382,280,22,10,2024-06-26,Online,1276.98,Completed
383,191,19,9,2024-09-17,POS,20180.23,Completed
384,139,10,6,2024-01-08,Transfer,41598.71,Cancelled
385,413,11,4,2025-05-30,Online,22454.47,Cancelled
386,408,25,5,2024-03-26,Online,12006.17,Completed
387,197,4,5,2024-04-02,POS,36156.16,Pending
388,461,7,9,2024-03-02,Transfer,35533.35,Cancelled
389,415,6,10,2023-11-24,Online,14635.13,Cancelled
390,470,1,8,2024-04-15,POS,24353.39,Pending
391,373,2,5,2024-09-29,Transfer,33875.31,Cancelled
392,359,11,10,2025-07-08,Card,31774.3,Pending
393,108,2,9,2025-05-24,Online,30064.66,Completed
394,202,8,1,2023-03-26,POS,15077.32,Pending
395,144,1,10,2025-11-06,Card,36478.02,Pending
396,212,1,3,2024-10-01,POS,34405.4,Pending
397,309,4,4,2024-10-07,POS,49133.19,Cancelled
398,313,15,6,2023-11-04,Transfer,34531.82,Cancelled
399,261,11,8,2024-12-25,Card,13103.59,Pending
400,225,9,10,2025-06-29,Transfer,43620.06,Cancelled
401,474,17,10,2025-08-04,Card,10811.27,Pending
402,349,12,9,2023-02-05,POS,12871.14,Cancelled
403,352,24,2,2023-11-20,Online,7254.53,Pending
404,453,4,9,2024-04-14,POS,41639.14,Completed
405,332,11,8,2025-06-18,POS,9458.08,Pending
406,310,22,2,2023-11-28,Card,12086.93,Pending
407,328,12,1,2025-04-05,Card,2079.13,Completed
408,494,16,5,2023-03-07,Online,29699.22,Cancelled
409,23,3,2,2024-11-03,Card,32575.39,Completed
410,18,23,4,2024-07-12,POS,30882.87,Pending
411,414,2,5,2025-12-30,Cash,28542.7,Cancelled
412,232,25,10,2023-04-26,Transfer,41040.59,Cancelled
413,231,17,6,2023-04-29,Card,16466.25,Pending
414,364,12,2,2023-03-10,POS,45540.04,Cancelled
415,230,29,1,2025-04-09,Transfer,31884.48,Completed
416,66,19,4,2025-10-05,Cash,44042.78,Pending
417,92,8,1,2024-07-18,Cash,30297.87,Pending
418,461,20,5,2023-08-13,Card,18993.81,Pending
419,293,7,1,2023-08-08,Online,26357.8,Cancelled
420,260,17,5,2023-07-19,Online,5721.07,Pending
421,89,19,3,2025-03-21,POS,24673.46,Completed
422,233,11,9,2025-04-15,Online,32449.87,Cancelled
423,268,2,3,2025-09-23,Transfer,36405.13,Pending
424,74,19,4,2023-06-10,POS,4482.16,Cancelled
425,38,5,1,2023-10-10,Cash,12077.28,Pending
426,36,30,5,2025-09-23,Online,15581.65,Completed
427,362,24,8,2023-05-07,Cash,3981.86,Cancelled
428,218,2,2,2023-07-13,Online,3512.51,Pending
429,102,8,7,2025-11-03,Cash,49677.53,Completed
430,435,19,1,2023-05-17,Cash,7702.92,Completed
431,357,8,10,2024-04-27,Online,16240.18,Completed
432,340,3,3,2025-12-21,Card,9270.44,Completed
433,288,7,4,2025-02-19,Card,12155.42,Pending
434,22,17,9,2023-07-04,Card,14807.16,Completed
435,85,18,4,2025-05-09,Card,42832.24,Pending
436,400,8,1,2025-04-15,Transfer,28501.07,Completed
437,292,2,1,2025-01-13,POS,23278.13,Cancelled
438,343,1,3,2023-08-16,Online,21810.53,Pending
439,109,6,4,2024-04-24,Online,38482.54,Completed
440,487,16,5,2024-10-16,Transfer,14496.48,Pending
441,46,17,5,2024-02-28,Cash,18912.98,Cancelled
442,200,20,9,2025-03-18,Online,26634.24,Pending
443,363,11,6,2025-08-13,Cash,10241.17,Completed
444,169,7,2,2023-04-16,Card,49360.7,Cancelled
445,435,2,2,2023-01-25,Online,26205.6,Cancelled
446,18,27,5,2025-03-31,Card,33938.69,Cancelled
447,124,11,5,2023-03-14,Cash,12807.48,Pending
448,61,22,1,2024-07-22,Cash,48189.86,Cancelled
449,82,17,9,2023-02-17,Cash,39293.85,Completed
450,481,8,1,2023-05-18,Card,15062.01,Pending
451,460,2,3,2025-11-26,Cash,30125.25,Pending
452,428,5,2,2024-11-16,POS,48576.54,Cancelled
453,260,25,1,2024-04-25,Cash,19631.63,Cancelled
454,456,24,2,2025-02-07,Online,36433.07,Pending
455,33,2,7,2025-07-20,Transfer,15012.75,Completed
456,72,5,4,2024-06-23,Cash,3941.25,Completed
457,309,25,8,2024-02-07,Transfer,23447.91,Pending
458,383,14,10,2023-06-16,Card,11197.77,Pending
459,390,7,2,2024-11-26,Online,44787.37,Pending
460,461,14,8,2025-01-10,Card,44367.7,Cancelled
461,46,15,5,2024-05-28,POS,891.12,Pending
462,460,12,5,2023-05-14,Transfer,37238.19,Pending
463,241,21,4,2024-10-12,Cash,26174.75,Pending
464,364,25,4,2023-06-18,Cash,27075.06,Cancelled
465,344,17,4,2024-11-01,Card,14412.87,Completed
466,436,13,10,2024-01-19,Online,19294.78,Pending
467,1,18,7,2023-10-25,Online,6505.08,Completed
468,180,4,5,2023-02-20,Card,31085.77,Pending
469,329,5,1,2023-01-25,POS,11866.6,Pending
470,229,18,10,2024-07-29,Card,7307.11,Pending
471,276,21,10,2025-11-20,Transfer,38525.55,Completed
472,340,20,7,2023-09-12,Cash,15371.63,Cancelled
473,159,26,5,2025-08-14,Transfer,7661.85,Pending
474,66,6,7,2023-08-30,POS,34837.36,Pending
475,90,13,1,2025-10-11,POS,37497.66,Pending
476,402,15,1,2025-02-18,Online,39863.7,Completed
477,253,16,9,2025-10-31,Online,32174.17,Cancelled
478,394,17,5,2025-07-18,Cash,28681.59,Completed
479,48,5,1,2025-09-22,Transfer,17341.78,Completed
480,375,2,8,2024-01-16,Transfer,7255.94,Cancelled
481,290,28,1,2023-10-10,Transfer,40956.96,Cancelled
482,308,28,2,2025-04-17,POS,38284.47,Cancelled
483,460,25,9,2023-10-20,Cash,44313.0,Completed
484,396,27,6,2023-07-31,Card,28553.82,Pending
485,167,2,4,2024-07-30,Online,27830.69,Completed
486,362,10,1,2024-12-22,Card,11951.53,Completed
487,489,21,2,2023-05-10,Online,11315.8,Completed
488,400,2,9,2023-03-23,Cash,36355.4,Pending
489,313,9,2,2025-09-26,POS,18167.32,Cancelled
490,289,8,6,2023-01-05,Online,23608.21,Completed
491,39,1,1,2025-05-04,Cash,3159.38,Completed
492,243,20,8,2025-11-10,Transfer,34392.62,Pending
493,490,16,8,2024-02-01,Cash,4788.55,Completed
